year,native_wage,migrant_wage,native_wage_skill_0,native_employment_skill_0,native_wage_skill_1,native_employment_skill_1,native_wage_skill_2,native_employment_skill_2,native_employment,migrant_employment,unemployment_rate,vacancy_rate,firm_count,output_per_capita,avg_productivity,firm_entry_stock,price_index,profit_rate,seed,native_wage_index_change_pct,native_wage_change_pct,native_wage_change_short_index
0,0.7251567064827045,0.5079685303610902,0.5755962193201661,0.9944444444444445,0.7323844150299351,0.9659239842726082,0.868883383896643,0.9874476987447699,0.9822727272727273,0.9833333333333333,0.0176,0.7696447841726617,417,0.3291491681240517,1.010111205332984,417,0.9895367071250001,-2.1130084849722506,5,,,
1,0.725831441495403,0.5061131498064337,0.5787010625462288,0.9958333333333333,0.7333502315369799,0.9790301441677588,0.8681048681983942,0.9790794979079498,0.9845454545454545,0.9833333333333333,0.0156,1.0343212103128265,413,0.3805073672757779,1.0112355242275728,413,0.9791828947477885,-2.22289342665362,5,,,
2,0.7302034492970053,0.5095033120573499,0.5826008434101462,0.9680555555555556,0.7383480086387312,0.9724770642201835,0.8687381463951176,0.9748953974895398,0.9718181818181818,0.99,0.026,1.0334213244465411,405,0.41720544811554044,1.0121753906869801,405,0.9689374173418521,-2.3603226103630752,5,,,
3,0.736334864857399,0.5130870518167155,0.5910104481840956,0.9763888888888889,0.7459544793128533,0.9711664482306684,0.8705649928373995,0.9874476987447699,0.9781818181818182,0.9866666666666667,0.0208,0.9692178540490907,399,0.4525396000868592,1.0135672434853769,399,0.958799141366658,-2.511346424003455,5,,,
4,0.7420376820384328,0.5156743897748923,0.6002514429024072,0.9763888888888889,0.7527576195512872,0.9829619921363041,0.8727591841468283,0.9776847977684798,0.9790909090909091,0.97,0.022,0.9592759583436441,394,0.48594217114942023,1.01510453743019,394,0.9487669451422407,-2.6104687410621525,5,,,
5,0.7483587079303635,0.5189161722665494,0.6110011847262831,0.9944444444444445,0.7594404889782876,0.9777195281782438,0.8764966566535075,0.9804741980474198,0.9840909090909091,0.9766666666666667,0.0168,0.952498120506621,392,0.5227240246611465,1.0158935058725103,392,0.9388397187250986,-2.650232272771198,5,,,
6,0.754778536108663,0.5247674250565614,0.6187891400616432,0.975,0.7674662740273022,0.9750982961992136,0.8787336931886922,0.9679218967921897,0.9727272727272728,0.9633333333333334,0.0284,0.9517987740505682,383,0.5437411299662217,1.0163930524057032,383,0.9290163637853952,-2.748256148051285,5,,,
7,0.7619233348001945,0.5282925415603614,0.628469766346483,0.9652777777777778,0.7750130997359107,0.9803407601572739,0.8832085481092787,0.9539748953974896,0.9668181818181818,0.9733333333333334,0.0324,0.9209203264469306,378,0.5710701135185281,1.015705081759098,378,0.9192957934854411,-2.791027483839101,5,,,
8,0.7672910830420298,0.5343944034142879,0.6344660922366985,0.9625,0.7809462543533079,0.9737876802096985,0.8851355813784538,0.9693165969316597,0.9686363636363636,0.98,0.03,0.9461371211839598,375,0.5880118500416753,1.0162715726730558,375,0.9097025826557835,-2.8978713699015484,5,,,
9,0.7743474842021479,0.5369066192468798,0.6485902157010741,0.9583333333333334,0.7866258869515182,0.9659239842726082,0.8878122030918638,0.9553695955369595,0.96,0.97,0.0388,0.9120011061388751,368,0.6165105113023066,1.0177112843079799,368,0.9001845809123789,-2.8968809826847535,5,,,
10,0.782686190023937,0.5484193283727917,0.6580426391611127,0.9097222222222222,0.7974464384081177,0.9423328964613368,0.8896574358476175,0.9260808926080892,0.9263636363636364,0.8847058823529412,0.08038095238095239,0.6587720801078449,362,0.6642259907264233,1.018226773676231,362,0.8907661102121319,-2.6410266409759817,5,1.0135951588017336,1.0768687174571119,1.0135951588017336
11,0.7878533693061127,0.5526323668895124,0.6674348080858437,0.9111111111111111,0.8018692919734578,0.9318479685452162,0.892920728733836,0.9163179916317992,0.92,0.9317647058823529,0.07809523809523809,0.845238176291176,353,0.6944948947501334,1.0199639809105612,353,0.8814464199330376,-2.64597389096286,5,1.8062324228223245,1.7441633607011224,1.8062324228223245
